Temperature (K)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
1385.0	0.10132	0.15852	6.3083	4284.5	4923.7	10.186	2.0861	2.5479	883.55	0.89819	undefined	undefined	vapor
1395.0	0.10132	0.15739	6.3538	4305.4	4949.2	10.204	2.0921	2.5539	886.51	0.87759	undefined	undefined	vapor
1405.0	0.10132	0.15626	6.3994	4326.3	4974.8	10.222	2.0980	2.5598	889.45	0.85751	undefined	undefined	vapor
1415.0	0.10132	0.15516	6.4450	4347.4	5000.4	10.240	2.1039	2.5657	892.39	0.83794	undefined	undefined	vapor
1425.0	0.10132	0.15407	6.4905	4368.4	5026.1	10.258	2.1098	2.5716	895.31	0.81885	undefined	undefined	vapor
1435.0	0.10132	0.15300	6.5361	4389.6	5051.8	10.276	2.1156	2.5774	898.23	0.80024	undefined	undefined	vapor
1445.0	0.10132	0.15194	6.5816	4410.7	5077.6	10.294	2.1214	2.5832	901.13	0.78209	undefined	undefined	vapor
1455.0	0.10132	0.15089	6.6272	4432.0	5103.5	10.312	2.1272	2.5889	904.03	0.76437	undefined	undefined	vapor
1465.0	0.10132	0.14986	6.6728	4453.3	5129.4	10.330	2.1329	2.5946	906.91	0.74709	undefined	undefined	vapor
1475.0	0.10132	0.14885	6.7183	4474.6	5155.4	10.348	2.1385	2.6003	909.79	0.73023	undefined	undefined	vapor
1485.0	0.10132	0.14784	6.7639	4496.1	5181.4	10.365	2.1442	2.6059	912.66	0.71376	undefined	undefined	vapor
1495.0	0.10132	0.14685	6.8094	4517.5	5207.5	10.383	2.1497	2.6115	915.51	0.69769	undefined	undefined	vapor
1505.0	0.10132	0.14588	6.8550	4539.1	5233.6	10.400	2.1553	2.6170	918.36	0.68199	undefined	undefined	vapor
1515.0	0.10132	0.14492	6.9006	4560.6	5259.8	10.417	2.1608	2.6225	921.20	0.66666	undefined	undefined	vapor
1525.0	0.10132	0.14397	6.9461	4582.3	5286.1	10.435	2.1662	2.6280	924.04	0.65169	undefined	undefined	vapor
1535.0	0.10132	0.14303	6.9917	4604.0	5312.4	10.452	2.1716	2.6334	926.86	0.63706	undefined	undefined	vapor
1545.0	0.10132	0.14210	7.0372	4625.7	5338.8	10.469	2.1770	2.6387	929.67	0.62276	undefined	undefined	vapor
1555.0	0.10132	0.14119	7.0828	4647.5	5365.2	10.486	2.1823	2.6441	932.48	0.60879	undefined	undefined	vapor
1565.0	0.10132	0.14028	7.1284	4669.4	5391.6	10.503	2.1876	2.6493	935.27	0.59513	undefined	undefined	vapor
1575.0	0.10132	0.13939	7.1739	4691.3	5418.2	10.520	2.1928	2.6546	938.06	0.58178	undefined	undefined	vapor
1585.0	0.10132	0.13851	7.2195	4713.2	5444.7	10.537	2.1980	2.6598	940.84	0.56872	undefined	undefined	vapor
1595.0	0.10132	0.13765	7.2650	4735.2	5471.4	10.553	2.2032	2.6649	943.61	0.55596	undefined	undefined	vapor
1605.0	0.10132	0.13679	7.3106	4757.3	5498.0	10.570	2.2083	2.6700	946.38	0.54347	undefined	undefined	vapor
1615.0	0.10132	0.13594	7.3561	4779.4	5524.8	10.587	2.2134	2.6751	949.13	0.53125	undefined	undefined	vapor
1625.0	0.10132	0.13510	7.4017	4801.6	5551.5	10.603	2.2184	2.6801	951.88	0.51930	undefined	undefined	vapor
1635.0	0.10132	0.13428	7.4473	4823.8	5578.4	10.620	2.2234	2.6851	954.62	0.50760	undefined	undefined	vapor
1645.0	0.10132	0.13346	7.4928	4846.0	5605.2	10.636	2.2284	2.6901	957.35	0.49616	undefined	undefined	vapor
1655.0	0.10132	0.13265	7.5384	4868.3	5632.2	10.652	2.2333	2.6950	960.08	0.48495	undefined	undefined	vapor
1665.0	0.10132	0.13186	7.5839	4890.7	5659.1	10.669	2.2382	2.6998	962.80	0.47399	undefined	undefined	vapor
1675.0	0.10132	0.13107	7.6295	4913.1	5686.2	10.685	2.2430	2.7047	965.51	0.46325	undefined	undefined	vapor
1685.0	0.10132	0.13029	7.6750	4935.5	5713.2	10.701	2.2478	2.7095	968.21	0.45273	undefined	undefined	vapor
